method,metric,q_id,score
固定大小_500,Cosine,1,0.6865234375
固定大小_500,Cosine,2,0.6904296875
固定大小_500,Cosine,3,0.61181640625
固定大小_500,Cosine,4,0.6962890625
固定大小_500,Cosine,5,0.7236328125
固定大小_500,Cosine,6,0.58837890625
固定大小_500,Cosine,7,0.64453125
固定大小_500,Cosine,8,0.70458984375
固定大小_500,Cosine,9,0.70654296875
固定大小_500,Cosine,10,0.4814453125
固定大小_500,Cosine,11,0.84912109375
固定大小_500,Cosine,12,0.78955078125
固定大小_500,Cosine,13,0.599609375
固定大小_500,Cosine,14,0.75048828125
固定大小_500,Cosine,15,0.6533203125
固定大小_500,Cosine,16,0.69384765625
固定大小_500,Cosine,17,0.71630859375
固定大小_500,Cosine,18,0.60400390625
固定大小_500,Cosine,19,0.720703125
固定大小_500,Cosine,20,0.69384765625
固定大小_500,Euclid,1,0.6865234375
固定大小_500,Euclid,2,0.6904296875
固定大小_500,Euclid,3,0.61181640625
固定大小_500,Euclid,4,0.6962890625
固定大小_500,Euclid,5,0.7236328125
固定大小_500,Euclid,6,0.58837890625
固定大小_500,Euclid,7,0.64453125
固定大小_500,Euclid,8,0.70458984375
固定大小_500,Euclid,9,0.70654296875
固定大小_500,Euclid,10,0.4814453125
固定大小_500,Euclid,11,0.84912109375
固定大小_500,Euclid,12,0.78955078125
固定大小_500,Euclid,13,0.599609375
固定大小_500,Euclid,14,0.75048828125
固定大小_500,Euclid,15,0.6533203125
固定大小_500,Euclid,16,0.69384765625
固定大小_500,Euclid,17,0.71630859375
固定大小_500,Euclid,18,0.60400390625
固定大小_500,Euclid,19,0.720703125
固定大小_500,Euclid,20,0.69384765625
固定大小_500,Dot,1,0.6865234375
固定大小_500,Dot,2,0.6904296875
固定大小_500,Dot,3,0.61181640625
固定大小_500,Dot,4,0.6962890625
固定大小_500,Dot,5,0.7236328125
固定大小_500,Dot,6,0.58837890625
固定大小_500,Dot,7,0.64453125
固定大小_500,Dot,8,0.70458984375
固定大小_500,Dot,9,0.70654296875
固定大小_500,Dot,10,0.4814453125
固定大小_500,Dot,11,0.84912109375
固定大小_500,Dot,12,0.78955078125
固定大小_500,Dot,13,0.599609375
固定大小_500,Dot,14,0.75048828125
固定大小_500,Dot,15,0.6533203125
固定大小_500,Dot,16,0.69384765625
固定大小_500,Dot,17,0.71630859375
固定大小_500,Dot,18,0.60400390625
固定大小_500,Dot,19,0.720703125
固定大小_500,Dot,20,0.69384765625
滑動視窗_400_100,Cosine,1,0.60791015625
滑動視窗_400_100,Cosine,2,0.68408203125
滑動視窗_400_100,Cosine,3,0.623046875
滑動視窗_400_100,Cosine,4,0.71923828125
滑動視窗_400_100,Cosine,5,0.75341796875
滑動視窗_400_100,Cosine,6,0.591796875
滑動視窗_400_100,Cosine,7,0.7548828125
滑動視窗_400_100,Cosine,8,0.69091796875
滑動視窗_400_100,Cosine,9,0.77685546875
滑動視窗_400_100,Cosine,10,0.69189453125
滑動視窗_400_100,Cosine,11,0.64892578125
滑動視窗_400_100,Cosine,12,0.7294921875
滑動視窗_400_100,Cosine,13,0.62255859375
滑動視窗_400_100,Cosine,14,0.759765625
滑動視窗_400_100,Cosine,15,0.658203125
滑動視窗_400_100,Cosine,16,0.7392578125
滑動視窗_400_100,Cosine,17,0.669921875
滑動視窗_400_100,Cosine,18,0.7216796875
滑動視窗_400_100,Cosine,19,0.61376953125
滑動視窗_400_100,Cosine,20,0.68896484375
滑動視窗_400_100,Euclid,1,0.60791015625
滑動視窗_400_100,Euclid,2,0.68408203125
滑動視窗_400_100,Euclid,3,0.623046875
滑動視窗_400_100,Euclid,4,0.71923828125
滑動視窗_400_100,Euclid,5,0.75341796875
滑動視窗_400_100,Euclid,6,0.591796875
滑動視窗_400_100,Euclid,7,0.7548828125
滑動視窗_400_100,Euclid,8,0.69091796875
滑動視窗_400_100,Euclid,9,0.77685546875
滑動視窗_400_100,Euclid,10,0.69189453125
滑動視窗_400_100,Euclid,11,0.64892578125
滑動視窗_400_100,Euclid,12,0.7294921875
滑動視窗_400_100,Euclid,13,0.62255859375
滑動視窗_400_100,Euclid,14,0.759765625
滑動視窗_400_100,Euclid,15,0.658203125
滑動視窗_400_100,Euclid,16,0.7392578125
滑動視窗_400_100,Euclid,17,0.669921875
滑動視窗_400_100,Euclid,18,0.7216796875
滑動視窗_400_100,Euclid,19,0.61376953125
滑動視窗_400_100,Euclid,20,0.68896484375
滑動視窗_400_100,Dot,1,0.60791015625
滑動視窗_400_100,Dot,2,0.68408203125
滑動視窗_400_100,Dot,3,0.623046875
滑動視窗_400_100,Dot,4,0.71923828125
滑動視窗_400_100,Dot,5,0.75341796875
滑動視窗_400_100,Dot,6,0.591796875
滑動視窗_400_100,Dot,7,0.7548828125
滑動視窗_400_100,Dot,8,0.69091796875
滑動視窗_400_100,Dot,9,0.77685546875
滑動視窗_400_100,Dot,10,0.69189453125
滑動視窗_400_100,Dot,11,0.64892578125
滑動視窗_400_100,Dot,12,0.7294921875
滑動視窗_400_100,Dot,13,0.62255859375
滑動視窗_400_100,Dot,14,0.759765625
滑動視窗_400_100,Dot,15,0.658203125
滑動視窗_400_100,Dot,16,0.7392578125
滑動視窗_400_100,Dot,17,0.669921875
滑動視窗_400_100,Dot,18,0.7216796875
滑動視窗_400_100,Dot,19,0.61376953125
滑動視窗_400_100,Dot,20,0.68896484375
語意切塊_進階,Cosine,1,0.67138671875
語意切塊_進階,Cosine,2,0.7119140625
語意切塊_進階,Cosine,3,0.67138671875
語意切塊_進階,Cosine,4,0.71435546875
語意切塊_進階,Cosine,5,0.6904296875
語意切塊_進階,Cosine,6,0.68115234375
語意切塊_進階,Cosine,7,0.7294921875
語意切塊_進階,Cosine,8,0.7119140625
語意切塊_進階,Cosine,9,0.7119140625
語意切塊_進階,Cosine,10,0.509765625
語意切塊_進階,Cosine,11,0.8505859375
語意切塊_進階,Cosine,12,0.80517578125
語意切塊_進階,Cosine,13,0.6318359375
語意切塊_進階,Cosine,14,0.80908203125
語意切塊_進階,Cosine,15,0.65087890625
語意切塊_進階,Cosine,16,0.71484375
語意切塊_進階,Cosine,17,0.67236328125
語意切塊_進階,Cosine,18,0.66357421875
語意切塊_進階,Cosine,19,0.8193359375
語意切塊_進階,Cosine,20,0.65380859375
語意切塊_進階,Euclid,1,0.67138671875
語意切塊_進階,Euclid,2,0.7119140625
語意切塊_進階,Euclid,3,0.67138671875
語意切塊_進階,Euclid,4,0.71435546875
語意切塊_進階,Euclid,5,0.6904296875
語意切塊_進階,Euclid,6,0.68115234375
語意切塊_進階,Euclid,7,0.7294921875
語意切塊_進階,Euclid,8,0.7119140625
語意切塊_進階,Euclid,9,0.7119140625
語意切塊_進階,Euclid,10,0.509765625
語意切塊_進階,Euclid,11,0.8505859375
語意切塊_進階,Euclid,12,0.80517578125
語意切塊_進階,Euclid,13,0.6318359375
語意切塊_進階,Euclid,14,0.80908203125
語意切塊_進階,Euclid,15,0.65087890625
語意切塊_進階,Euclid,16,0.71484375
語意切塊_進階,Euclid,17,0.67236328125
語意切塊_進階,Euclid,18,0.66357421875
語意切塊_進階,Euclid,19,0.8193359375
語意切塊_進階,Euclid,20,0.65380859375
語意切塊_進階,Dot,1,0.67138671875
語意切塊_進階,Dot,2,0.7119140625
語意切塊_進階,Dot,3,0.67138671875
語意切塊_進階,Dot,4,0.71435546875
語意切塊_進階,Dot,5,0.6904296875
語意切塊_進階,Dot,6,0.68115234375
語意切塊_進階,Dot,7,0.7294921875
語意切塊_進階,Dot,8,0.7119140625
語意切塊_進階,Dot,9,0.7119140625
語意切塊_進階,Dot,10,0.509765625
